followup_id,customer_id,contacted_at,channel,reason,outcome,next_action_date,resulting_appointment_id
F0044,C0208,2026-07-05T09:30:00,Phone,Service due,Booked,,A01361
F0045,C0419,2026-07-13T07:00:00,SMS,Service due,Booked,,A01458
F0046,C0059,2026-08-02T06:30:00,SMS,Service due,Booked,,A01551
F0047,C0341,2026-08-19T11:00:00,SMS,Service due,Booked,,A01672
F0048,C0029,2026-06-29T05:45:00,SMS,Service due,Booked,,A01166
F0049,C0369,2026-06-29T06:00:00,Phone,Service due,Booked,,A01267
F0050,C0214,2026-07-14T14:15:00,SMS,Service due,Booked,,A01271
F0051,C0141,2026-08-10T03:00:00,SMS,Service due,Booked,,A01812
F0052,C0076,2026-06-20T02:45:00,Phone,Service due,Booked,,A01142
F0053,C0218,2026-07-19T09:00:00,SMS,Service due,Booked,,A01408
F0054,C0051,2026-08-17T13:15:00,SMS,Service due,Booked,,A01826
F0055,C0440,2026-07-24T02:00:00,SMS,Service due,Booked,,A01529
F0056,C0412,2026-07-25T08:00:00,SMS,Service due,Booked,,A01442
F0057,C0153,2026-08-19T04:00:00,Phone,Service due,Booked,,A01737
F0058,C0261,2026-07-26T03:00:00,SMS,Service due,Booked,,A01362
F0059,C0273,2026-07-06T06:00:00,SMS,Service due,Booked,,A01331
F0060,C0350,2026-08-08T07:00:00,Phone,Service due,Booked,,A01782
F0061,C0152,2026-06-20T04:00:00,SMS,Service due,Booked,,A01168
F0062,C0086,2026-07-22T03:30:00,Phone,Service due,Booked,,A01586
F0063,C0045,2026-08-23T15:00:00,SMS,Service due,Booked,,A01706
F0064,C0298,2026-07-19T05:30:00,SMS,Service due,Booked,,A01381
F0065,C0372,2026-07-05T07:30:00,SMS,Service due,Booked,,A01236
F0066,C0052,2026-07-04T08:45:00,SMS,Service due,Booked,,A01139
F0067,C0266,2026-07-02T06:15:00,Phone,Service due,Booked,,A01299
F0068,C0198,2026-07-17T00:00:00,SMS,Service due,Booked,,A01273
F0069,C0264,2026-06-22T07:15:00,Phone,Service due,Booked,,A01172
F0070,C0278,2026-07-21T03:45:00,SMS,Service due,Booked,,A01275
F0071,C0175,2026-07-17T14:45:00,Phone,Service due,Booked,,A01330
F0072,C0259,2026-06-13T07:45:00,Phone,Service due,Booked,,A01098
F0073,C0195,2026-07-25T12:30:00,SMS,Service due,Booked,,A01614
F0074,C0111,2026-08-17T12:45:00,SMS,Service due,Booked,,A01809
F0075,C0272,2026-07-04T04:30:00,SMS,Service due,Booked,,A01242
F0076,C0096,2026-08-15T10:00:00,Phone,Service due,Booked,,A01605
F0077,C0119,2026-07-26T03:00:00,Phone,Service due,Booked,,A01449
F0078,C0299,2026-07-15T07:00:00,Phone,Service due,Booked,,A01535
F0079,C0083,2026-07-27T09:00:00,Phone,Service due,Booked,,A01585
F0080,C0122,2026-08-21T05:15:00,Phone,Service due,Booked,,A01711
F0081,C0358,2026-08-25T08:00:00,SMS,Service due,Booked,,A01790
F0082,C0361,2026-06-26T02:30:00,SMS,Service due,Booked,,A01260
F0083,C0444,2026-07-31T03:30:00,Phone,Service due,Booked,,A01590
F0084,C0249,2026-06-15T06:00:00,SMS,Service due,Booked,,A01151
F0085,C0417,2026-07-27T05:30:00,Phone,Service due,Booked,,A01423
F0086,C0465,2026-08-19T08:15:00,Phone,Service due,Booked,,A01692
F0087,C0389,2026-07-23T04:00:00,SMS,Service due,Booked,,A01369
F0088,C0319,2026-08-19T02:30:00,SMS,Service due,Booked,,A01600
F0089,C0262,2026-08-04T09:15:00,SMS,Service due,Booked,,A01555
F0090,C0353,2026-08-26T04:00:00,Phone,Service due,Booked,,A01778
F0091,C0255,2026-07-18T11:00:00,Phone,Service due,Booked,,A01546
F0092,C0099,2026-07-22T13:45:00,Phone,Service due,Booked,,A01552
F0093,C0489,2026-08-28T09:45:00,SMS,Service due,Booked,,A01754
F0094,C0388,2026-07-05T08:15:00,SMS,Service due,Booked,,A01384
F0095,C0042,2026-08-24T04:30:00,Phone,Service due,Booked,,A01835
F0096,C0204,2026-08-15T07:45:00,SMS,Service due,Booked,,A01669
