appointment_id,customer_id,staff_name,service_id,week_start,appointment_start,appointment_end,booking_created_at,status,cancelled_at,completed_at,booked_duration_minutes,quoted_service_amount_aud,service_revenue_aud,discount_amount_aud,booking_channel,is_new_customer_at_booking
A00021,C0094,Matthew,SV01,16/3/2026,2026-03-18T13:30:00,2026-03-18T14:00:00,2026-02-17T05:30:00,completed,,2026-03-18T14:00:00,30,40,40,0,Online,FALSE
A00022,C0011,Sarah,SV03,16/3/2026,2026-03-16T13:30:00,2026-03-16T14:30:00,2026-03-07T13:30:00,completed,,2026-03-16T14:30:00,60,100,100,0,Phone,FALSE
A00023,C0134,Sam,SV06,16/3/2026,2026-03-20T09:00:00,2026-03-20T12:00:00,2026-03-12T02:00:00,completed,,2026-03-20T12:00:00,180,390,390,0,Phone,FALSE
A00024,C0187,Sam,SV01,16/3/2026,2026-03-16T12:30:00,2026-03-16T13:00:00,2026-02-20T11:30:00,completed,,2026-03-16T13:00:00,30,40,40,0,Phone,TRUE
A00025,C0012,Sarah,SV04,16/3/2026,2026-03-17T12:30:00,2026-03-17T14:30:00,2026-03-06T12:30:00,completed,,2026-03-17T14:30:00,120,240,240,0,Online,FALSE
A00026,C0016,Sam,SV04,16/3/2026,2026-03-17T11:00:00,2026-03-17T13:00:00,2026-03-01T05:00:00,completed,,2026-03-17T13:00:00,120,240,240,0,Online,FALSE
A00027,C0062,Matthew,SV01,16/3/2026,2026-03-18T14:00:00,2026-03-18T14:30:00,2026-03-10T13:00:00,completed,,2026-03-18T14:30:00,30,40,40,0,Online,FALSE
A00028,C0188,Sarah,SV01,16/3/2026,2026-03-18T14:00:00,2026-03-18T14:30:00,2026-03-08T07:00:00,completed,,2026-03-18T14:30:00,30,40,40,0,Phone,TRUE
A00029,C0010,Matthew,SV02,16/3/2026,2026-03-17T13:45:00,2026-03-17T14:30:00,2026-02-25T05:45:00,completed,,2026-03-17T14:30:00,45,60,60,0,Phone,FALSE
A00030,C0020,Matthew,SV04,16/3/2026,2026-03-17T11:45:00,2026-03-17T13:45:00,2026-03-01T03:45:00,completed,,2026-03-17T13:45:00,120,240,240,0,In salon,FALSE
A00031,C0066,Sarah,SV05,16/3/2026,2026-03-16T14:30:00,2026-03-16T17:00:00,2026-02-26T06:30:00,completed,,2026-03-16T17:00:00,150,325,325,0,In salon,FALSE
A00032,C0014,Sam,SV02,16/3/2026,2026-03-17T15:45:00,2026-03-17T16:30:00,2026-02-10T09:45:00,completed,,2026-03-17T16:30:00,45,60,60,0,Phone,FALSE
A00033,C0050,Sarah,SV01,16/3/2026,2026-03-18T14:30:00,2026-03-18T15:00:00,2026-02-15T10:30:00,completed,,2026-03-18T15:00:00,30,40,40,0,Phone,FALSE
A00034,C0178,Matthew,SV01,16/3/2026,2026-03-18T14:30:00,2026-03-18T15:00:00,2026-03-03T07:30:00,completed,,2026-03-18T15:00:00,30,40,40,0,In salon,FALSE
A00035,C0015,Matthew,SV03,16/3/2026,2026-03-16T13:30:00,2026-03-16T14:30:00,2026-03-06T08:30:00,completed,,2026-03-16T14:30:00,60,100,100,0,Online,FALSE
A00036,C0189,Sam,SV01,16/3/2026,2026-03-20T12:00:00,2026-03-20T12:30:00,2026-03-04T09:00:00,completed,,2026-03-20T12:30:00,30,40,40,0,Phone,TRUE
A00037,C0049,Sam,SV01,16/3/2026,2026-03-18T13:00:00,2026-03-18T13:30:00,2026-02-11T13:00:00,completed,,2026-03-18T13:30:00,30,40,40,0,Online,FALSE
A00038,C0024,Sarah,SV04,16/3/2026,2026-03-16T09:30:00,2026-03-16T11:30:00,2026-03-08T02:30:00,completed,,2026-03-16T11:30:00,120,240,240,0,Phone,FALSE
A00039,C0190,Sam,SV05,16/3/2026,2026-03-20T12:30:00,2026-03-20T15:00:00,2026-02-21T06:30:00,completed,,2026-03-20T15:00:00,150,325,325,0,In salon,TRUE
A00040,C0018,Sarah,SV02,16/3/2026,2026-03-17T15:15:00,2026-03-17T16:00:00,2026-02-18T13:15:00,completed,,2026-03-17T16:00:00,45,60,60,0,In salon,FALSE
A00041,C0063,Matthew,SV01,16/3/2026,2026-03-18T12:00:00,2026-03-18T12:30:00,2026-02-11T08:00:00,completed,,2026-03-18T12:30:00,30,40,40,0,In salon,FALSE
A00042,C0171,Matthew,SV01,16/3/2026,2026-03-17T09:45:00,2026-03-17T10:15:00,2026-02-19T03:45:00,completed,,2026-03-17T10:15:00,30,40,40,0,In salon,FALSE
A00043,C0191,Matthew,SV05,16/3/2026,2026-03-20T12:00:00,2026-03-20T14:30:00,2026-03-06T09:00:00,completed,,2026-03-20T14:30:00,150,325,325,0,In salon,TRUE
A00044,C0022,Sam,SV02,16/3/2026,2026-03-17T10:15:00,2026-03-17T11:00:00,2026-02-25T04:15:00,completed,,2026-03-17T11:00:00,45,60,60,0,In salon,FALSE
A00045,C0108,Sarah,SV01,16/3/2026,2026-03-17T11:30:00,2026-03-17T12:00:00,2026-03-06T04:30:00,completed,,2026-03-17T12:00:00,30,40,40,0,Phone,FALSE
A00046,C0192,Sarah,SV01,16/3/2026,2026-03-18T15:30:00,2026-03-18T16:00:00,2026-03-02T07:30:00,completed,,2026-03-18T16:00:00,30,40,40,0,In salon,TRUE
A00047,C0193,Sarah,SV01,16/3/2026,2026-03-16T09:00:00,2026-03-16T09:30:00,2026-02-26T06:00:00,completed,,2026-03-16T09:30:00,30,40,40,0,Online,TRUE
A00048,C0136,Matthew,SV04,16/3/2026,2026-03-16T11:30:00,2026-03-16T13:30:00,2026-02-28T03:30:00,completed,,2026-03-16T13:30:00,120,240,240,0,Online,FALSE
A00049,C0167,Sarah,SV01,16/3/2026,2026-03-18T12:30:00,2026-03-18T13:00:00,2026-03-06T04:30:00,completed,,2026-03-18T13:00:00,30,40,40,0,In salon,FALSE
A00050,C0019,Sam,SV03,16/3/2026,2026-03-16T11:30:00,2026-03-16T12:30:00,2026-03-03T11:30:00,completed,,2026-03-16T12:30:00,60,100,100,0,In salon,FALSE
A00051,C0132,Sam,SV05,16/3/2026,2026-03-16T09:00:00,2026-03-16T11:30:00,2026-02-10T02:00:00,completed,,2026-03-16T11:30:00,150,325,325,0,Online,FALSE
A00052,C0194,Sarah,SV01,16/3/2026,2026-03-18T15:00:00,2026-03-18T15:30:00,2026-02-17T10:00:00,completed,,2026-03-18T15:30:00,30,40,40,0,Online,TRUE
A00053,C0195,Sam,SV01,16/3/2026,2026-03-18T13:30:00,2026-03-18T14:00:00,2026-02-21T05:30:00,completed,,2026-03-18T14:00:00,30,40,40,0,Phone,TRUE
A00054,C0084,Sam,SV01,16/3/2026,2026-03-17T16:30:00,2026-03-17T17:00:00,2026-02-10T16:30:00,completed,,2026-03-17T17:00:00,30,40,40,0,In salon,FALSE
A00055,C0196,Sarah,SV02,16/3/2026,2026-03-17T14:30:00,2026-03-17T15:15:00,2026-02-15T13:30:00,completed,,2026-03-17T15:15:00,45,60,60,0,Online,TRUE
A00056,C0071,Sarah,SV06,16/3/2026,2026-03-20T09:00:00,2026-03-20T12:00:00,2026-02-21T06:00:00,completed,,2026-03-20T12:00:00,180,390,390,0,Online,FALSE
A00057,C0197,Sam,SV04,16/3/2026,2026-03-16T13:00:00,2026-03-16T15:00:00,2026-03-08T09:00:00,completed,,2026-03-16T15:00:00,120,240,240,0,Online,TRUE
A00058,C0168,Matthew,SV05,16/3/2026,2026-03-16T09:00:00,2026-03-16T11:30:00,2026-03-02T04:00:00,completed,,2026-03-16T11:30:00,150,325,325,0,Phone,FALSE
A00059,C0023,Matthew,SV03,16/3/2026,2026-03-17T10:15:00,2026-03-17T11:15:00,2026-02-24T05:15:00,completed,,2026-03-17T11:15:00,60,100,100,0,Phone,FALSE
A00060,C0142,Sam,SV01,16/3/2026,2026-03-18T12:30:00,2026-03-18T13:00:00,2026-02-28T04:30:00,completed,,2026-03-18T13:00:00,30,40,40,0,Online,FALSE
A00061,C0198,Sarah,SV04,16/3/2026,2026-03-17T09:30:00,2026-03-17T11:30:00,2026-02-25T08:30:00,completed,,2026-03-17T11:30:00,120,240,240,0,In salon,TRUE
A00062,C0042,Matthew,SV01,16/3/2026,2026-03-18T13:00:00,2026-03-18T13:30:00,2026-03-05T10:00:00,completed,,2026-03-18T13:30:00,30,40,40,0,Phone,FALSE
A00063,C0082,Sam,SV04,16/3/2026,2026-03-16T15:00:00,2026-03-16T17:00:00,2026-02-10T12:00:00,completed,,2026-03-16T17:00:00,120,240,240,0,In salon,FALSE
A00064,C0199,Matthew,SV01,16/3/2026,2026-03-17T11:15:00,2026-03-17T11:45:00,2026-02-25T07:15:00,completed,,2026-03-17T11:45:00,30,40,40,0,Phone,TRUE
A00065,C0200,Matthew,SV04,16/3/2026,2026-03-17T15:00:00,2026-03-17T17:00:00,2026-03-09T08:00:00,completed,,2026-03-17T17:00:00,120,240,240,0,Phone,TRUE
A00066,C0188,Sarah,SV01,16/3/2026,2026-03-18T14:00:00,2026-03-18T14:30:00,2026-03-04T12:00:00,cancelled,2026-03-08T12:00:00,,30,40,0,0,Phone,TRUE
A00067,C0062,Matthew,SV01,16/3/2026,2026-03-18T14:00:00,2026-03-18T14:30:00,2026-03-04T12:00:00,cancelled,2026-03-08T12:00:00,,30,40,0,0,Online,FALSE
A00068,C0012,Sarah,SV04,16/3/2026,2026-03-17T12:30:00,2026-03-17T14:30:00,2026-03-04T12:00:00,cancelled,2026-03-08T12:00:00,,120,240,0,0,Online,FALSE
A00069,C0104,Sarah,SV04,23/3/2026,2026-03-23T09:00:00,2026-03-23T11:00:00,2026-03-04T03:00:00,completed,,2026-03-23T11:00:00,120,240,240,0,Phone,FALSE
A00070,C0176,Sam,SV01,23/3/2026,2026-03-24T15:30:00,2026-03-24T16:00:00,2026-03-11T11:30:00,completed,,2026-03-24T16:00:00,30,40,40,0,Online,FALSE
A00071,C0130,Sarah,SV03,23/3/2026,2026-03-24T10:00:00,2026-03-24T11:00:00,2026-03-10T02:00:00,completed,,2026-03-24T11:00:00,60,100,100,0,Phone,FALSE
A00072,C0201,Sam,SV02,23/3/2026,2026-03-24T10:00:00,2026-03-24T10:45:00,2026-03-11T06:00:00,completed,,2026-03-24T10:45:00,45,60,60,0,Online,TRUE
A00073,C0202,Sam,SV04,23/3/2026,2026-03-23T15:00:00,2026-03-23T17:00:00,2026-02-16T07:00:00,completed,,2026-03-23T17:00:00,120,240,240,0,In salon,TRUE
A00074,C0061,Sam,SV03,23/3/2026,2026-03-24T16:00:00,2026-03-24T17:00:00,2026-02-17T14:00:00,completed,,2026-03-24T17:00:00,60,100,100,0,Online,FALSE
A00075,C0048,Sarah,SV05,23/3/2026,2026-03-23T12:30:00,2026-03-23T15:00:00,2026-03-13T08:30:00,completed,,2026-03-23T15:00:00,150,325,325,0,Phone,FALSE
A00076,C0086,Sam,SV01,23/3/2026,2026-03-25T11:30:00,2026-03-25T12:00:00,2026-03-03T06:30:00,completed,,2026-03-25T12:00:00,30,40,40,0,In salon,FALSE
A00077,C0203,Sam,SV05,23/3/2026,2026-03-23T09:00:00,2026-03-23T11:30:00,2026-02-24T05:00:00,completed,,2026-03-23T11:30:00,150,325,325,0,In salon,TRUE
A00078,C0204,Sarah,SV01,23/3/2026,2026-03-24T16:30:00,2026-03-24T17:00:00,2026-02-18T16:30:00,completed,,2026-03-24T17:00:00,30,40,40,0,Phone,TRUE
A00079,C0051,Matthew,SV01,23/3/2026,2026-03-23T13:30:00,2026-03-23T14:00:00,2026-02-28T06:30:00,completed,,2026-03-23T14:00:00,30,40,40,0,Online,FALSE
A00080,C0205,Sam,SV01,23/3/2026,2026-03-27T14:30:00,2026-03-27T15:00:00,2026-03-02T13:30:00,completed,,2026-03-27T15:00:00,30,40,40,0,Online,TRUE
A00081,C0128,Matthew,SV01,23/3/2026,2026-03-25T11:45:00,2026-03-25T12:15:00,2026-02-21T05:45:00,completed,,2026-03-25T12:15:00,30,40,40,0,In salon,FALSE
A00082,C0115,Sarah,SV01,23/3/2026,2026-03-25T15:45:00,2026-03-25T16:15:00,2026-02-18T14:45:00,completed,,2026-03-25T16:15:00,30,40,40,0,Online,FALSE
A00083,C0077,Sam,SV04,23/3/2026,2026-03-24T10:45:00,2026-03-24T12:45:00,2026-03-03T04:45:00,completed,,2026-03-24T12:45:00,120,240,240,0,Phone,FALSE
A00084,C0206,Sarah,SV01,23/3/2026,2026-03-25T13:30:00,2026-03-25T14:00:00,2026-03-16T13:30:00,completed,,2026-03-25T14:00:00,30,40,40,0,In salon,TRUE
A00085,C0053,Matthew,SV03,23/3/2026,2026-03-24T09:15:00,2026-03-24T10:15:00,2026-03-03T05:15:00,completed,,2026-03-24T10:15:00,60,100,100,0,In salon,FALSE
A00086,C0109,Sarah,SV01,23/3/2026,2026-03-25T14:00:00,2026-03-25T14:30:00,2026-02-18T09:00:00,completed,,2026-03-25T14:30:00,30,40,40,0,Online,FALSE
A00087,C0089,Matthew,SV03,23/3/2026,2026-03-24T14:00:00,2026-03-24T15:00:00,2026-03-16T13:00:00,completed,,2026-03-24T15:00:00,60,100,100,0,In salon,FALSE
A00088,C0060,Matthew,SV01,23/3/2026,2026-03-25T14:00:00,2026-03-25T14:30:00,2026-02-24T10:00:00,completed,,2026-03-25T14:30:00,30,40,40,0,Phone,FALSE
A00089,C0207,Sarah,SV01,23/3/2026,2026-03-25T13:00:00,2026-03-25T13:30:00,2026-02-20T13:00:00,completed,,2026-03-25T13:30:00,30,40,40,0,In salon,TRUE
A00090,C0046,Matthew,SV04,23/3/2026,2026-03-24T15:00:00,2026-03-24T17:00:00,2026-03-15T12:00:00,completed,,2026-03-24T17:00:00,120,240,240,0,Phone,FALSE
A00091,C0121,Sam,SV01,23/3/2026,2026-03-25T13:45:00,2026-03-25T14:15:00,2026-03-16T07:45:00,completed,,2026-03-25T14:15:00,30,40,40,0,Online,FALSE
A00092,C0030,Sam,SV03,23/3/2026,2026-03-24T09:00:00,2026-03-24T10:00:00,2026-03-04T08:00:00,completed,,2026-03-24T10:00:00,60,100,100,0,In salon,FALSE
A00093,C0208,Sam,SV01,23/3/2026,2026-03-23T12:30:00,2026-03-23T13:00:00,2026-03-08T04:30:00,completed,,2026-03-23T13:00:00,30,40,40,0,Online,TRUE
A00094,C0164,Sarah,SV03,23/3/2026,2026-03-23T11:00:00,2026-03-23T12:00:00,2026-02-28T06:00:00,completed,,2026-03-23T12:00:00,60,100,100,0,Online,FALSE
A00095,C0159,Sarah,SV04,23/3/2026,2026-03-24T14:30:00,2026-03-24T16:30:00,2026-02-24T12:30:00,completed,,2026-03-24T16:30:00,120,240,240,0,In salon,FALSE
A00096,C0133,Sarah,SV05,23/3/2026,2026-03-27T12:30:00,2026-03-27T15:00:00,2026-03-09T10:30:00,completed,,2026-03-27T15:00:00,150,325,325,0,Phone,FALSE
A00097,C0209,Matthew,SV01,23/3/2026,2026-03-25T11:15:00,2026-03-25T11:45:00,2026-03-03T08:15:00,completed,,2026-03-25T11:45:00,30,40,40,0,In salon,TRUE
A00098,C0135,Sarah,SV02,23/3/2026,2026-03-25T14:30:00,2026-03-25T15:15:00,2026-03-03T10:30:00,completed,,2026-03-25T15:15:00,45,60,60,0,Online,FALSE
A00099,C0065,Sam,SV02,23/3/2026,2026-03-25T14:45:00,2026-03-25T15:30:00,2026-03-15T14:45:00,completed,,2026-03-25T15:30:00,45,60,60,0,Phone,FALSE
A00100,C0052,Matthew,SV04,23/3/2026,2026-03-24T12:00:00,2026-03-24T14:00:00,2026-02-27T04:00:00,completed,,2026-03-24T14:00:00,120,240,240,0,Online,FALSE
A00101,C0165,Matthew,SV04,23/3/2026,2026-03-23T15:00:00,2026-03-23T17:00:00,2026-02-23T07:00:00,completed,,2026-03-23T17:00:00,120,240,240,0,Phone,FALSE
A00102,C0105,Sarah,SV01,23/3/2026,2026-03-27T12:00:00,2026-03-27T12:30:00,2026-03-17T07:00:00,completed,,2026-03-27T12:30:00,30,40,40,0,Phone,FALSE
A00103,C0067,Sam,SV01,23/3/2026,2026-03-25T14:15:00,2026-03-25T14:45:00,2026-02-22T12:15:00,completed,,2026-03-25T14:45:00,30,40,40,0,Phone,FALSE
A00104,C0210,Matthew,SV01,23/3/2026,2026-03-27T14:30:00,2026-03-27T15:00:00,2026-02-27T10:30:00,completed,,2026-03-27T15:00:00,30,40,40,0,Phone,TRUE
A00105,C0039,Matthew,SV04,23/3/2026,2026-03-23T09:00:00,2026-03-23T11:00:00,2026-03-05T06:00:00,completed,,2026-03-23T11:00:00,120,240,240,0,Online,FALSE
A00106,C0211,Matthew,SV03,23/3/2026,2026-03-24T11:00:00,2026-03-24T12:00:00,2026-03-14T05:00:00,completed,,2026-03-24T12:00:00,60,100,100,0,Online,TRUE
A00107,C0212,Sam,SV02,23/3/2026,2026-03-25T12:00:00,2026-03-25T12:45:00,2026-03-13T12:00:00,completed,,2026-03-25T12:45:00,45,60,60,0,Online,TRUE
A00108,C0163,Sam,SV01,23/3/2026,2026-03-25T13:15:00,2026-03-25T13:45:00,2026-03-15T12:15:00,completed,,2026-03-25T13:45:00,30,40,40,0,In salon,FALSE
A00109,C0031,Sam,SV04,23/3/2026,2026-03-24T13:30:00,2026-03-24T15:30:00,2026-02-17T07:30:00,completed,,2026-03-24T15:30:00,120,240,240,0,In salon,FALSE
A00110,C0147,Sam,SV05,23/3/2026,2026-03-27T09:00:00,2026-03-27T11:30:00,2026-03-04T08:00:00,completed,,2026-03-27T11:30:00,150,325,325,0,Online,FALSE
A00111,C0127,Sarah,SV01,23/3/2026,2026-03-23T12:00:00,2026-03-23T12:30:00,2026-02-26T04:00:00,completed,,2026-03-23T12:30:00,30,40,40,0,Phone,FALSE
A00112,C0179,Matthew,SV01,23/3/2026,2026-03-25T09:45:00,2026-03-25T10:15:00,2026-02-27T01:45:00,completed,,2026-03-25T10:15:00,30,40,40,0,Online,FALSE
A00113,C0026,Matthew,SV05,23/3/2026,2026-03-27T12:00:00,2026-03-27T14:30:00,2026-02-27T11:00:00,completed,,2026-03-27T14:30:00,150,325,325,0,In salon,FALSE
A00114,C0029,Sarah,SV01,23/3/2026,2026-03-25T12:00:00,2026-03-25T12:30:00,2026-03-01T10:00:00,completed,,2026-03-25T12:30:00,30,40,40,0,Online,FALSE
A00115,C0081,Sarah,SV04,23/3/2026,2026-03-23T15:00:00,2026-03-23T17:00:00,2026-03-01T13:00:00,completed,,2026-03-23T17:00:00,120,240,240,0,Phone,FALSE
A00116,C0213,Sam,SV01,23/3/2026,2026-03-25T15:30:00,2026-03-25T16:00:00,2026-03-03T07:30:00,completed,,2026-03-25T16:00:00,30,40,40,0,In salon,TRUE
A00117,C0033,Matthew,SV01,23/3/2026,2026-03-25T10:45:00,2026-03-25T11:15:00,2026-03-07T04:45:00,completed,,2026-03-25T11:15:00,30,40,40,0,Phone,FALSE
A00118,C0154,Matthew,SV06,23/3/2026,2026-03-27T09:00:00,2026-03-27T12:00:00,2026-03-01T01:00:00,completed,,2026-03-27T12:00:00,180,390,390,0,Online,FALSE
A00119,C0214,Sam,SV04,23/3/2026,2026-03-23T13:00:00,2026-03-23T15:00:00,2026-02-25T08:00:00,completed,,2026-03-23T15:00:00,120,240,240,0,Phone,TRUE
A00120,C0129,Sarah,SV01,23/3/2026,2026-03-25T16:15:00,2026-03-25T16:45:00,2026-03-10T15:15:00,completed,,2026-03-25T16:45:00,30,40,40,0,Online,FALSE
A00121,C0166,Sarah,SV06,23/3/2026,2026-03-27T09:00:00,2026-03-27T12:00:00,2026-02-27T06:00:00,completed,,2026-03-27T12:00:00,180,390,390,0,Phone,FALSE
A00122,C0150,Sarah,SV01,23/3/2026,2026-03-25T12:30:00,2026-03-25T13:00:00,2026-03-15T11:30:00,completed,,2026-03-25T13:00:00,30,40,40,0,Online,FALSE
A00123,C0215,Matthew,SV01,23/3/2026,2026-03-25T10:15:00,2026-03-25T10:45:00,2026-03-03T04:15:00,completed,,2026-03-25T10:45:00,30,40,40,0,Phone,TRUE
A00124,C0216,Sam,SV03,23/3/2026,2026-03-23T11:30:00,2026-03-23T12:30:00,2026-03-05T06:30:00,completed,,2026-03-23T12:30:00,60,100,100,0,Online,TRUE
A00125,C0217,Sam,SV06,23/3/2026,2026-03-27T11:30:00,2026-03-27T14:30:00,2026-03-19T10:30:00,completed,,2026-03-27T14:30:00,180,390,390,0,Online,TRUE
A00126,C0043,Sarah,SV04,23/3/2026,2026-03-24T11:45:00,2026-03-24T13:45:00,2026-02-21T05:45:00,completed,,2026-03-24T13:45:00,120,240,240,0,Phone,FALSE
A00127,C0144,Sarah,SV01,23/3/2026,2026-03-25T15:15:00,2026-03-25T15:45:00,2026-03-10T08:15:00,completed,,2026-03-25T15:45:00,30,40,40,0,Phone,FALSE
A00128,C0157,Sam,SV02,23/3/2026,2026-03-24T12:45:00,2026-03-24T13:30:00,2026-03-15T10:45:00,completed,,2026-03-24T13:30:00,45,60,60,0,Phone,FALSE
A00129,C0076,Matthew,SV01,23/3/2026,2026-03-25T13:30:00,2026-03-25T14:00:00,2026-02-28T10:30:00,completed,,2026-03-25T14:00:00,30,40,40,0,Phone,FALSE
A00130,C0038,Sam,SV01,23/3/2026,2026-03-25T12:45:00,2026-03-25T13:15:00,2026-02-22T06:45:00,completed,,2026-03-25T13:15:00,30,40,40,0,Online,FALSE
A00131,C0145,Matthew,SV02,23/3/2026,2026-03-24T10:15:00,2026-03-24T11:00:00,2026-03-15T04:15:00,completed,,2026-03-24T11:00:00,45,60,60,0,Online,FALSE
A00132,C0218,Sarah,SV02,23/3/2026,2026-03-24T11:00:00,2026-03-24T11:45:00,2026-03-14T11:00:00,completed,,2026-03-24T11:45:00,45,60,60,0,In salon,TRUE
A00133,C0160,Sarah,SV02,23/3/2026,2026-03-24T13:45:00,2026-03-24T14:30:00,2026-02-23T11:45:00,completed,,2026-03-24T14:30:00,45,60,60,0,In salon,FALSE
A00134,C0219,Matthew,SV03,23/3/2026,2026-03-23T14:00:00,2026-03-23T15:00:00,2026-02-20T06:00:00,completed,,2026-03-23T15:00:00,60,100,100,0,Phone,TRUE
A00135,C0079,Matthew,SV02,23/3/2026,2026-03-25T12:15:00,2026-03-25T13:00:00,2026-03-08T06:15:00,completed,,2026-03-25T13:00:00,45,60,60,0,In salon,FALSE
A00136,C0064,Matthew,SV05,23/3/2026,2026-03-23T11:00:00,2026-03-23T13:30:00,2026-02-25T03:00:00,completed,,2026-03-23T13:30:00,150,325,325,0,In salon,FALSE
A00137,C0220,Matthew,SV01,23/3/2026,2026-03-25T13:00:00,2026-03-25T13:30:00,2026-03-06T11:00:00,completed,,2026-03-25T13:30:00,30,40,40,0,Phone,TRUE
A00138,C0221,Sarah,SV03,23/3/2026,2026-03-24T09:00:00,2026-03-24T10:00:00,2026-03-10T04:00:00,completed,,2026-03-24T10:00:00,60,100,100,0,Online,TRUE
A00139,C0076,Matthew,SV01,23/3/2026,2026-03-25T13:30:00,2026-03-25T14:00:00,2026-03-11T12:00:00,cancelled,2026-03-15T12:00:00,,30,40,0,0,Phone,FALSE
A00140,C0129,Sarah,SV01,23/3/2026,2026-03-25T16:15:00,2026-03-25T16:45:00,2026-03-11T12:00:00,cancelled,2026-03-15T12:00:00,,30,40,0,0,Online,FALSE
A00141,C0125,Sarah,SV06,30/3/2026,2026-04-03T12:00:00,2026-04-03T15:00:00,2026-03-11T05:00:00,completed,,2026-04-03T15:00:00,180,390,390,0,In salon,FALSE
A00142,C0123,Sarah,SV01,30/3/2026,2026-04-01T12:15:00,2026-04-01T12:45:00,2026-03-17T09:15:00,completed,,2026-04-01T12:45:00,30,40,40,0,Online,FALSE
